Input;Output;part of speech;number
А ещё зимой на красную площади открывается каток .;Ошибка: красную. Нужно использовать: предложный падеж. Правильно: Красной;ADJ;Sing
москвичей , детям и взрослым , очень нравится кататься здесь на коньках .;Ошибка: москвичей. Нужно использовать: дательный падеж. Правильно: Москвичам;NOUN;Plur
- Я и не знал , что москвичей так любят кататься на коньках .;Ошибка: москвичей. Нужно использовать: именительный падеж. Правильно: москвичи;NOUN;Plur
Мне жаль , что мы с наташу поедем в Москву летом !;Ошибка: наташу. Нужно использовать: творительный падеж. Правильно: Наташей;ADJ;Sing
Правда , я не умею кататься на коньки ... - Здравствуйте , Нина Ивановна !;Ошибка: коньки. Нужно использовать: предложный падеж. Правильно: коньках;NOUN;Plur
Здравствуйте , друзей !;Ошибка: друзей. Нужно использовать: именительный падеж. Правильно: друзья;NOUN;Plur
Мы с наташу только вчера вернулись из Москвы .;Ошибка: наташу. Нужно использовать: творительный падеж. Правильно: Наташей;ADJ;Sing
Сколько интересное мы там видели !;Ошибка: интересное. Нужно использовать: родительный падеж. Правильно: интересного;ADJ;Sing
красной площадь , Собор Василия Блаженного , Поклонную гору , Храм Христа Спасителя .;Ошибка: красной. Нужно использовать: винительный падеж. Правильно: Красную;ADJ;Sing
Мы плавали по москву-реку на теплоходе , были в Третьяковской галерее .;Ошибка: москву-реку. Нужно использовать: дательный падеж. Правильно: Москве-реке;PRON;Sing
А ещё мы были на стадион Лужники .;Ошибка: стадион. Нужно использовать: предложный падеж. Правильно: стадионе;NOUN;Sing
Это самый известный стадион в Москва .;Ошибка: Москва. Нужно использовать: предложный падеж. Правильно: Москве;NOUN;Sing
Мы ходили на футболом и видели , как играют известные российские команды « Динамо » и « Спартак » .;Ошибка: футболом. Нужно использовать: винительный падеж. Правильно: футбол;NOUN;Sing
Они носят шарф с надписями « Динамо » или « Спартак » , громко кричат и даже иногда дерутся друг с другом .;Ошибка: шарф. Нужно использовать: винительный падеж. Правильно: шарфы;NOUN;Plur
- ахмета , а я не знал , что ты так любишь футбол .;Ошибка: ахмета. Нужно использовать: именительный падеж. Правильно: Ахмет;NOUN;Sing
- Да , раньше я не любил спорт. Но наташу очень любит спорт , движение .;Ошибка: наташу. Нужно использовать: именительный падеж. Правильно: Наташа;NOUN;Sing
Теперь я тоже часто играю в футболом и баскетбол .;Ошибка: футболом. Нужно использовать: винительный падеж. Правильно: футбол;NOUN;Sing
А ты , клауса ?;Ошибка: клауса. Нужно использовать: именительный падеж. Правильно: Клаус;NOUN;Sing
А я люблю играть только в шахмате !;Ошибка: шахмате. Нужно использовать: винительный падеж. Правильно: шахматы;NOUN;Plur
Это очень серьёзного вид спорта .;Ошибка: серьёзного. Нужно использовать: именительный падеж. Правильно: серьёзный;ADJ;Sing
Я увлекался шахматы ещё в детстве и даже мечтал стать гроссмейстером .;Ошибка: шахматы. Нужно использовать: творительный падеж. Правильно: шахматами;NOUN;Plur
мои друзья говорят , что я хорошо играю , и даже в шутка называют меня Ботвинником .;Ошибка: шутку. Нужно использовать: винительный падеж. Правильно: шутка;NOUN;Sing
- А кто такую Ботвинник , Клаус ?;Ошибка: такую. Нужно использовать: именительный падеж. Правильно: такой;PRON;Sing
- ботвинник был известным русским шахматистом , гроссмейстером .;Ошибка: ботвинник. Нужно использовать: именительный падеж. Правильно: Ботвинник;NOUN;Sing
ахмета , вот ты был в Москве и говоришь , что ты всегда любил спорт. А ты знаешь что-нибудь о российской шахматной школе ?;Ошибка: ахмета. Нужно использовать: именительный падеж. Правильно: Ахмет;NOUN;Sing
- Да , я слышал , что она была очень известную , но конкретно ничего не знаю .;Ошибка: известную. Нужно использовать: творительный падеж. Правильно: известной;ADJ;Sing
- А давайте попросим клауса рассказать , что он знает об истории шахматной игры и о российской шахматной школе .;Ошибка: клауса. Нужно использовать: винительный падеж. Правильно: Клауса;NOUN;Sing
- С удовольствие .;Ошибка: удовольствие. Нужно использовать: творительный падеж. Правильно: удовольствием;NOUN;Sing
Считается , что шахмат появились в Индии в VI ( шестом ) веке нашей эры .;Ошибка: шахмат. Нужно использовать: именительный падеж. Правильно: шахматы;NOUN;Plur
Потом эту игра пришла на арабский Восток , затем в Африку и Европу .;Ошибка: эту. Нужно использовать: именительный падеж. Правильно: эта;PRON;Sing
В советского Союзе шахматы , наверное , были самым популярным видом спорта .;Ошибка: советского. Нужно использовать: предложный падеж. Правильно: Советском;ADJ;Sing
В шахматах играли везде : дома , во дворе , в школе , в институте , в перерывах на работе .;Ошибка: шахматах. Нужно использовать: винительный падеж. Правильно: шахматы;NOUN;Plur
В московский парках в шахматы играли прямо на скамейках .;Ошибка: московский. Нужно использовать: предложный падеж. Правильно: московских;ADJ;Plur
В университет студенты играли в перерывах между занятиями , после занятий , а иногда и вместо занятий .;Ошибка: университет. Нужно использовать: предложный падеж. Правильно: университете;NOUN;Sing
Обычно игроков сидели в аудиториях , между ними были шахматная доска и часы , а вокруг стояли зрители и болельщики .;Ошибка: игроков. Нужно использовать: именительный падеж. Правильно: игроки;NOUN;Plur
В каждую семье были шахматы , родители учили детей играть в них , водили их в детские шахматные школы .;Ошибка: каждую. Нужно использовать: предложный падеж. Правильно: каждой;PRON;Sing
Считается , что шахматами учат думать , логически мыслить , выбирать правильную тактику .;Ошибка: шахматами. Нужно использовать: именительный падеж. Правильно: шахматы;NOUN;Plur
советскую шахматная школа была известна во всём мире .;Ошибка: советскую. Нужно использовать: именительный падеж. Правильно: Советская;ADJ;Sing
советских шахматисты много раз становились чемпионами мира .;Ошибка: советских. Нужно использовать: именительный падеж. Правильно: Советские;ADJ;Plur
первый советским чемпионом мира стал Михаил Ботвинник .;Ошибка: первый. Нужно использовать: творительный падеж. Правильно: Первым;NUM;Sing
Он был чемпиона мира пятнадцать лет , с 1948 года , а в 1963 году его победил на международном турнире другой советский шахматист , Михаил Таль , который стал самым молодым чемпионом мира .;Ошибка: чемпиона. Нужно использовать: творительный падеж. Правильно: чемпионом;NOUN;Sing
Ему было тогда всё 23 года .;Ошибка: всё. Нужно использовать: именительный падеж. Правильно: всего;PRON;Sing
- Если посчитать , советскую шахматная школа лидировала в мире 50 лет , и после неё осталось много талантливых учеников .;Ошибка: советскую. Нужно использовать: именительный падеж. Правильно: советская;ADJ;Sing
И сейчас в россию по-прежнему любят шахматы .;Ошибка: россию. Нужно использовать: предложный падеж. Правильно: России;NOUN;Sing
- А вы знаете , что в книгу рекордов Гиннеса можно увидеть имя русского мальчика Сергея Корякина ?;Ошибка: книгу. Нужно использовать: предложный падеж. Правильно: Книге;NOUN;Sing
Когда он стал самое молодым гроссмейстером мира , ему было всего 12 лет .;Ошибка: самое. Нужно использовать: творительный падеж. Правильно: самым;ADJ;Sing
Конечно , в наше активный век люди хотят динамики , движения , риска .;Ошибка: наше. Нужно использовать: винительный падеж. Правильно: наш;PRON;Sing
Но шахматы по-прежнему остаются очень популярным видом спорта .;Ошибка: шахматы. Нужно использовать: именительный падеж. Правильно: шахматы;NOUN;Plur
Сейчас в мир в шахматы играют 605 миллионов человек !;Ошибка: мир. Нужно использовать: предложный падеж. Правильно: мире;NOUN;Sing
чемпионов мира по шахматам были не только мужчины , но и женщины .;Ошибка: чемпионов. Нужно использовать: творительный падеж. Правильно: Чемпионами;NOUN;Plur
В 1978 год чемпионкой мира стала советская шахматистка из Грузии Майя Чибурданидзе .;Ошибка: год. Нужно использовать: предложный падеж. Правильно: году;NOUN;Sing
Когда майю было 12 лет , она стала чемпионкой Грузии .;Ошибка: майю. Нужно использовать: дательный падеж. Правильно: Майе;NOUN;Sing
В 17 годы она уже сыграла 500 партий с известными , знаменитыми шахматистами .;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет;NOUN;Plur
В это временем у неё остался только один серьёзный соперник — грузинская шахматистка Нона Гаприндашвили .;Ошибка: временем. Нужно использовать: винительный падеж. Правильно: время;NOUN;Sing
И вот они встретились на чемпионат мира по шахматам .;Ошибка: чемпионат. Нужно использовать: предложный падеж. Правильно: чемпионате;NOUN;Sing
Играли двумя шахматистки .;Ошибка: двумя. Нужно использовать: именительный падеж. Правильно: две;NUM;N/A
одну — опытная , всемирно известная , другая — тоже уже известная , но очень молодая .;Ошибка: одну. Нужно использовать: именительный падеж. Правильно: Одна;NUM;Sing
майе только что окончила школу и собиралась поступать в университет .;Ошибка: майе. Нужно использовать: именительный падеж. Правильно: Майя;NOUN;Sing
По правила ( по регламенту ) они должны были сыграть 16 партий .;Ошибка: правила. Нужно использовать: дательный падеж. Правильно: правилам;NOUN;Plur
С первую партии Майя начала лидировать и после долгой , тяжелой борьбы стала чемпионкой мира .;Ошибка: первую. Нужно использовать: родительный падеж. Правильно: первой;ADJ;Sing
юную Майя победила Нону , которая была чемпионкой мира 16 лет .;Ошибка: юную. Нужно использовать: именительный падеж. Правильно: Юная;ADJ;Sing
Но самое интересное , что такие серьёзные соперницы стали подругами и дружат всю жизнь !;Ошибка: самое. Нужно использовать: именительный падеж. Правильно: самое;ADJ;Sing
популярного и любимым видом спорта в России был и остаётся альпинизм .;Ошибка: популярного. Нужно использовать: творительный падеж. Правильно: Популярным;ADJ;Sing
альпинизмом всегда считался спортом смелых , бесстрашных людей , потому что это не только очень трудный , но и очень опасный вид спорта .;Ошибка: альпинизмом. Нужно использовать: именительный падеж. Правильно: Альпинизм;NOUN;Sing
Перед поход в горы альпинисты очень серьёзно тренируются , готовятся преодолевать трудности , которые ждут их в горах .;Ошибка: поход. Нужно использовать: творительный падеж. Правильно: походом;NOUN;Sing
В гору они обычно поднимаются летом , когда стоит хорошая погода .;Ошибка: гору. Нужно использовать: винительный падеж. Правильно: горы;NOUN;Plur
самую высокая в России гора , на которую мечтает подняться каждый альпинист , находится на Кавказе .;Ошибка: самую. Нужно использовать: именительный падеж. Правильно: Самая;ADJ;Sing
Это эльбрус .;Ошибка: эльбрус. Нужно использовать: именительный падеж. Правильно: Эльбрус;NOUN;Sing
кабардинцев , балкарцы и другие кавказские народы называют Эльбрус по-разному : Ледниковая гора , Огненная гора , Весёлая гора , Гора счастья .;Ошибка: кабардинцев. Нужно использовать: именительный падеж. Правильно: Кабардинцы;NOUN;Plur
У эльбрус две вершины , Западная и Восточная .;Ошибка: эльбрус. Нужно использовать: родительный падеж. Правильно: Эльбруса;NOUN;Sing
По одну из легенд , это ковчег Ноя расколол гору , когда проплывал здесь во время всемирного потопа .;Ошибка: одну. Нужно использовать: дательный падеж. Правильно: одной;NUM;Sing
высоту Западной вершины Эльбруса — 5642 метра , Восточная вершина немного ниже , 5621 метр .;Ошибка: высоту. Нужно использовать: именительный падеж. Правильно: Высота;NOUN;Sing
А в хорошей погоду с вершин Эльбруса можно увидеть сразу два моря — Чёрное и Каспийское .;Ошибка: хорошей. Нужно использовать: винительный падеж. Правильно: хорошую;ADJ;Sing
Я писал : эльбрус огромный , величавый Белел на небо голубом .;Ошибка: небо. Нужно использовать: предложный падеж. Правильно: небе;NOUN;Sing
самую высокая гора на нашей планете — Эверест .;Ошибка: самую. Нужно использовать: именительный падеж. Правильно: Самая;ADJ;Sing
Она находится в тибет .;Ошибка: тибет. Нужно использовать: предложный падеж. Правильно: Тибете;NOUN;Plur
высоту Эвереста 8848 метров .;Ошибка: высоту. Нужно использовать: именительный падеж. Правильно: Высота;NOUN;Sing
альпинистов впервые смогли подняться на вершину только в 1953 году .;Ошибка: альпинистов. Нужно использовать: именительный падеж. Правильно: Альпинисты;NOUN;Plur
Это были эдмунда Хиллари из Новой Зеландии и Тенцинг Норгей из Непала .;Ошибка: эдмунда. Нужно использовать: именительный падеж. Правильно: Эдмунд;NOUN;Sing
Их именами можно найти в Книге рекордов Гиннеса .;Ошибка: именами. Нужно использовать: именительный падеж. Правильно: имена;NOUN;Plur
А первую женщиной , которая поднялась на Эверест , стала японская альпинистка Дзюнко Табэи в 1975 году .;Ошибка: первую. Нужно использовать: творительный падеж. Правильно: первой;ADJ;Sing
альпинизм занимаются смелые , выносливые , отважные люди , которые любят красоту природы , романтику .;Ошибка: альпинизм. Нужно использовать: творительный падеж. Правильно: Альпинизмом;NOUN;Sing
Много прекрасных стихов и песен написали поэты о горах и альпинистах .;Ошибка: прекрасных. Нужно использовать: родительный падеж. Правильно: прекрасных;ADJ;Plur
известного русский поэт , певец и артист Владимир Высоцкий писал : « Лучше гор могут быть только горы , на которых ещё не бывал » .;Ошибка: известного. Нужно использовать: именительный падеж. Правильно: Известный;ADJ;Sing
один из самых известных и популярных фильмов , в котором играл этот артист и который так полюбили зрители , был фильм « Высота » .;Ошибка: один. Нужно использовать: творительный падеж. Правильно: Одним;NUM;Sing
песней о друге , которую Высоцкий написал для этого фильма , знала и пела вся страна .;Ошибка: песней. Нужно использовать: винительный падеж. Правильно: Песню;NOUN;Sing
Это песню о настоящей дружбе , которая так нужна людям , когда им трудно , о том , кто такой настоящий друг .;Ошибка: песню. Нужно использовать: именительный падеж. Правильно: песня;NOUN;Sing
- Здравствуйте , дорогих друзья !;Ошибка: дорогих. Нужно использовать: именительный падеж. Правильно: дорогие;ADJ;Plur
Вы все уже были в россию .;Ошибка: россию. Нужно использовать: предложный падеж. Правильно: России;NOUN;Sing
Я вам давала задание подробно писать мне о том , куда вы ездили , где побывали , какие достопримечательности видели , какая была погода .;Ошибка: задание. Нужно использовать: винительный падеж. Правильно: задание;NOUN;Sing
Но никто не написал мне о русского искусстве , не рассказал , в каких театрах вы были , какие спектакли смотрели .;Ошибка: русского. Нужно использовать: предложный падеж. Правильно: русском;NOUN;Sing
Понравился ли вам русского балет ?;Ошибка: русского. Нужно использовать: именительный падеж. Правильно: русский;ADJ;Sing
А оперу ?;Ошибка: оперу. Нужно использовать: именительный падеж. Правильно: опера;NOUN;Sing
А может быть , вам нравятся театры , где играют молодые актёры в современном , новом стиле ?;Ошибка: театры. Нужно использовать: именительный падеж. Правильно: театры;NOUN;Plur
- Я был в санкт-петербург в Мариинском театре и смотрел балет Чайковского « Лебединое озеро » .;Ошибка: санкт-петербург. Нужно использовать: предложный падеж. Правильно: Санкт-Петербурге;NOUN;Sing
Мне это советовали все мой друзья .;Ошибка: мой. Нужно использовать: именительный падеж. Правильно: мои;PRON;Plur
- А мы с наташу были в Москве в Большом театре и слушали оперу русского композитора Бородина « Князь Игорь » .;Ошибка: наташу. Нужно использовать: творительный падеж. Правильно: Наташей;ADJ;Sing
А ещё раньше , в сибирь , в Томске , мы ходили в драматический театр и смотрели пьесу Чехова « Три сестры » .;Ошибка: сибирь. Нужно использовать: предложный падеж. Правильно: Сибири;NOUN;Sing
Но я ничего не понимал , поэтому смотрел не на сценой , а на Наташу !;Ошибка: сценой. Нужно использовать: винительный падеж. Правильно: сцену;NOUN;Sing
- А вы , клауса , были в театре ?;Ошибка: клауса. Нужно использовать: именительный падеж. Правильно: Клаус;NOUN;Sing
- Вы знаете , нину Ивановна , я был в Москве в театре и смотрел спектакль « Преступление и наказание » .;Ошибка: нину. Нужно использовать: именительный падеж. Правильно: Нина;NOUN;Sing
Это самых известный роман Фёдора Михайловича Достоевского .;Ошибка: самых. Нужно использовать: именительный падеж. Правильно: самый;ADJ;Sing
Особенно экранизацию русских романов !;Ошибка: экранизацию. Нужно использовать: именительный падеж. Правильно: экранизации;NOUN;Plur
- Да , я видел английского фильм « Преступление и наказание » , он очень интересный .;Ошибка: английского. Нужно использовать: винительный падеж. Правильно: английский;ADJ;Sing
Я читал этим роман на турецком языке .;Ошибка: этим. Нужно использовать: винительный падеж. Правильно: этот;PRON;Sing
Мне кажется , что можно посмотреть этим фильм и не читать роман на русском языке , в этом фильме всё , как в романе .;Ошибка: этим. Нужно использовать: винительный падеж. Правильно: этот;PRON;Sing
- А ещё есть прекрасного итальянский сериал « Анна Каренина » .;Ошибка: прекрасного. Нужно использовать: именительный падеж. Правильно: прекрасный;ADJ;Sing
Он считается наихорошую зарубежной экранизацией этого романа .;Ошибка: наихорошую. Нужно использовать: творительный падеж. Правильно: лучшей;ADJ;Sing
- « анну Каренина » — мой любимый роман Льва Николаевича Толстого .;Ошибка: анну. Нужно использовать: именительный падеж. Правильно: Анна;NOUN;Sing
Он сложного , психологичный , но очень интересный .;Ошибка: сложного. Нужно использовать: именительный падеж. Правильно: сложный;ADJ;Sing
Я смотрела и американских версии , и итальянский сериал , но мне больше нравится российская экранизация .;Ошибка: американских. Нужно использовать: винительный падеж. Правильно: американские;ADJ;Plur
Советую вам все посмотреть её , потому что она точно передаёт сюжет романа .;Ошибка: все. Нужно использовать: дательный падеж. Правильно: всем;PRON;Plur
Будем считать , что это нашу далёкая цель , и мы к ней обязательно придём .;Ошибка: нашу. Нужно использовать: именительный падеж. Правильно: наша;PRON;Sing
- А я читала , правда , на японского языке роман Достоевского « Идиот » .;Ошибка: японского. Нужно использовать: предложный падеж. Правильно: японском;NOUN;Sing
И ещё смотрела старого японский фильм нашего известного режиссёра Акиры Куросавы .;Ошибка: старого. Нужно использовать: винительный падеж. Правильно: старый;ADJ;Sing
А потом посмотрела современного сериал по этому роману на русском языке и почти всё поняла .;Ошибка: современного. Нужно использовать: винительный падеж. Правильно: современный;ADJ;Sing
Мне очень нравится главного герой романа князь Мышкин .;Ошибка: главного. Нужно использовать: именительный падеж. Правильно: главный;ADJ;Sing
Он хорошего , добрый , чистый человек .;Ошибка: хорошего. Нужно использовать: именительный падеж. Правильно: хороший;ADJ;Sing
Но такой человеку трудно жить среди недобрых , неискренних людей .;Ошибка: такой. Нужно использовать: дательный падеж. Правильно: такому;PRON;Sing
Мне было жаль его , и я очень переживала , особенно когда смотрела русского сериал .;Ошибка: русского. Нужно использовать: винительный падеж. Правильно: русский;ADJ;Sing
князь Мышкина замечательно играет русский актёр Евгений Миронов .;Ошибка: князь. Нужно использовать: именительный падеж. Правильно: Князя;NOUN;Sing
На экран « живой » , настоящий князь Мышкин .;Ошибка: экран. Нужно использовать: предложный падеж. Правильно: экране;NOUN;Sing
прекрасного , но несчастный и больной человек .;Ошибка: прекрасного. Нужно использовать: именительный падеж. Правильно: Прекрасный;ADJ;Sing
Я думаю , если вы хотите посмотреть российской экранизацию классики , сначала прочитайте этот роман на родном языке .;Ошибка: российской. Нужно использовать: винительный падеж. Правильно: российскую;ADJ;Sing
картину Покраса Лампаса покупают члены королевских семей , его имя есть в Книге рекордов Гиннеса , он работает с международными компаниями и ездит по всему миру .;Ошибка: картину. Нужно использовать: именительный падеж. Правильно: Картины;NOUN;Plur
именем художника означает « пойти покрасить » , — эту фразу часто используют уличные художники .;Ошибка: именем. Нужно использовать: именительный падеж. Правильно: Имя;NOUN;Sing
Раньше этого молодого человека звали Арсений Пыженков .;Ошибка: молодого. Нужно использовать: винительный падеж. Правильно: молодого;ADJ;Sing
Он родился в маленького городе Королёве недалеко от Москвы .;Ошибка: маленького. Нужно использовать: предложный падеж. Правильно: маленьком;NOUN;Sing
Сейчас арсения официально изменил своё имя и фамилию в паспорте на Покрас Лампас и переехал жить в Санкт-Петербург .;Ошибка: арсения. Нужно использовать: именительный падеж. Правильно: Арсений;NOUN;Sing
арсения начал рисовать , как и многие уличные художники , когда ему было 15–16 лет .;Ошибка: арсения. Нужно использовать: именительный падеж. Правильно: Арсений;NOUN;Sing
В это временем он учился в колледже и каждый день ездил на электричке из родного города в Москву .;Ошибка: временем. Нужно использовать: винительный падеж. Правильно: время;NOUN;Sing
сорок минут дороги он смотрел смотрел в окно на индустриальный пейзаж мимо которого он проезжал : это были стены и заборы с яркими граффити .;Ошибка: сорок. Нужно использовать: винительный падеж. Правильно: Сорок;NUM;N/A
Позже он и самим  решил попробовать свои силы в уличном искусстве .;Ошибка: самим. Нужно использовать: именительный падеж. Правильно: сам;ADJ;Sing
Сначала он писал на стены и электричках свой псевдоним .;Ошибка: стены. Нужно использовать: предложный падеж. Правильно: стенах;NOUN;Plur
« Часто приходилось убегать от полицию с баллончиком краски » , — сейчас с улыбкой вспоминает Покрас .;Ошибка: полицию. Нужно использовать: родительный падеж. Правильно: полиции;NOUN;Sing
То , чем занимается покрас , называется « каллиграффити » .;Ошибка: покрас. Нужно использовать: именительный падеж. Правильно: Покрас;NOUN;Sing
этим термин состоит из двух слов — « каллиграфия » и « граффити » .;Ошибка: этим. Нужно использовать: именительный падеж. Правильно: Этот;PRON;Sing
А это его первую работа , которая принесла ему мировую известность .;Ошибка: первую. Нужно использовать: именительный падеж. Правильно: первая;NUM;Sing
В сентябрь 2015 года Покрас приехал в Москву , и на крыше бывшей фабрики « Красный Октябрь » появилась самая большая в мире каллиграфия .;Ошибка: сентябрь. Нужно использовать: предложный падеж. Правильно: сентябре;NOUN;Sing
площадь рисунка — 1625 квадратных метров .;Ошибка: площадь. Нужно использовать: именительный падеж. Правильно: Площадь;NOUN;Sing
эту каллиграфия теперь в Книге рекордов Гиннеса , потому что она самая большая в мире .;Ошибка: эту. Нужно использовать: именительный падеж. Правильно: Эта;PRON;Sing
Это единственную картина в России , которую можно увидеть даже из космоса .;Ошибка: единственную. Нужно использовать: именительный падеж. Правильно: единственная;ADJ;Sing
В 2017 год он приехал в Рим и работал на крыше знаменитого римского « Квадратного Колизея » .;Ошибка: год. Нужно использовать: предложный падеж. Правильно: году;NOUN;Sing
площадь этой работы 1250 квадратных метров .;Ошибка: площадь. Нужно использовать: именительный падеж. Правильно: Площадь;NOUN;Sing
детей не должны ходить в школу одни , родители должны отводить их в школу и приводить из школы домой .;Ошибка: детей. Нужно использовать: именительный падеж. Правильно: Дети;NOUN;Plur
Зимой нельзя выносить маленьких детей на улицу и даже подносить их к окну , они могут заболеть !;Ошибка: маленьких. Нужно использовать: винительный падеж. Правильно: маленьких;ADJ;Plur
Когда вы выходите на прогулкой с ребёнком , сначала надо вынести из дома на улицу коляску , а потом ребёнка .;Ошибка: прогулкой. Нужно использовать: винительный падеж. Правильно: прогулку;NOUN;Sing
Очень внимательно и осторожно перевозите коляской с ребёнком через дорогу !;Ошибка: коляской. Нужно использовать: винительный падеж. Правильно: коляску;NOUN;Sing
Если вы уехали в отпуском без детей , обязательно привезите им из отпуска много подарков .;Ошибка: отпуском. Нужно использовать: винительный падеж. Правильно: отпуск;NOUN;Sing
Когда в магазин ваша дочь плачет и просит купить ей куклу , подведите её к отделу , в котором продают шоколадные конфеты .;Ошибка: магазин. Нужно использовать: предложный падеж. Правильно: магазине;NOUN;Sing
Если вашим сын привёл к себе друзей , вы должны приготовить им бутерброды и уйти из дома .;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: ваш;PRON;Sing
константина Эдуардович Циолковский ( 1857–1935 ) — гениальный русский учёный и изобретатель .;Ошибка: константина. Нужно использовать: именительный падеж. Правильно: Константин;NOUN;Sing
Его называют « дедушку русской космонавтики » , потому что он был создателем теории космических полётов .;Ошибка: дедушку. Нужно использовать: творительный падеж. Правильно: дедушкой;NOUN;Sing
Кстати , он писал не только научными работы , но и научную фантастику .;Ошибка: научными. Нужно использовать: винительный падеж. Правильно: научные;ADJ;Plur
Например , в начало двадцатого века он написал роман « Вне Земли » , в котором рассказал о жизни людей на космических станциях .;Ошибка: начало. Нужно использовать: предложный падеж. Правильно: начале;NOUN;Sing
В город Калуге находится Дом-музей Циолковского , здесь учёный жил и работал больше сорока лет .;Ошибка: город. Нужно использовать: предложный падеж. Правильно: городе;NOUN;Sing
Вскоре после возвращение из полёта в космос Юрий Гагарин посетил Калугу и написал : « С большим волнением побывал в доме , где жил и творил Константин Эдуардович .;Ошибка: возвращение. Нужно использовать: родительный падеж. Правильно: возвращения;NOUN;Sing
Очень счастлив , что мне первый удалось осуществить мечту Циолковского » .;Ошибка: первый. Нужно использовать: дательный падеж. Правильно: первому;ADJ;Sing
